key,files,functions,lines,addLines,deleteLines,pos,time,rf,ibf,isComponent,distance,isInducing
12950@eaf43055f658,0.81756,0.701582,0.727054,0.653475,0.856548,0.058824,0.035714,1,0.487233,0,0.333333,false
12950@b4085d2e2003,0.328981,0.462135,0.470083,0.424781,0.522664,0.111111,0.047619,1,0.649353,0,1,false
12950@85a3e43952a0,0.113173,0.376279,0.41114,0.354709,0.471672,0.25,0.027027,1,0.552866,0,1,false
12950@032c630a740d,0,0,0.12445,0.098624,0.114597,0.25,0.142857,1,0.719996,0,0.333333,false
12950@8870deb3cd89,0.720494,0.743284,0.733627,0.690286,0.824663,0.083333,0.03125,1,0.255613,0,0.5,false
12950@d0bc44447e65,0.568395,0.687402,0.618122,0.558074,0.715752,0.25,0.038462,1,0.38349,0,0.5,false
12950@26b76d6dd17e,0,0,0.153038,0.12445,0.144606,0.111111,0.026316,1,0.719996,0,0.333333,false
12950@d2ac505725f8,0,0,0.202102,0.160849,0.216909,0.071429,0.02439,1,1,0,1,false
12950@b516dee066b2,0,0.052289,0.248899,0.192117,0.289211,0.018349,0.045455,1,0.461183,0,0.076923,false
12950@4cf8ff9aab9c,0.471922,0.533276,0.63686,0.580196,0.733211,0.333333,0.1,1,1,1,0.030303,false
12950@0ddb6cc8cd64,0.204543,0.309236,0.450408,0.402446,0.504477,0.015748,0.020408,1,0.649353,0,0.015873,false
12950@3915a9571923,0,0,0.036399,0,0.072303,0.083333,0.076923,1,0.719996,0,0.055556,false
12950@313ca82fe335,0,0,0,0,0,0,0,0,0,0,0,false
12950@f15277be8b1c,0.418789,0.372746,0.507116,0.441346,0.593567,0.018018,0.030303,1,0.342405,0,0.333333,false
12950@493703d05279,0.680307,0.830941,0.858111,0.858096,0.1869,0.2,0.018868,1,0.418057,0,1,false
12950@f1871c539a47,0.066202,0.161558,0.41386,0.374048,0.447542,0.076923,0.02381,1,1,0,1,false
12950@c68289aa2a47,0.367577,0.417664,0.426737,0.363735,0.497635,0.071429,0.043478,1,1,0,0.055556,false
12950@18c67f102f36,0.066202,0.193968,0.302287,0.275424,0.289211,0.083333,0.052632,1,0.719996,0,0.5,false
12950@801601ae75cc,0,0.052289,0.303822,0.243106,0.354782,0.015748,0.034483,1,0.821823,0,1,false
12950@d31f25ca302d,0,0.178778,0.240062,0.186675,0.275283,0.018349,0.033333,1,0.35494,0,0.2,false
12950@6b904670d0c2,0,0,0.112462,0.036399,0.167882,0.25,0.5,1,0.719996,0,0.058824,false
12950@7012373d248c,0.149606,0.389518,0.469604,0.467663,0.229195,0.018018,0.090909,1,0.292091,0,0.25,false
12950@a6b6e3cf36a4,0.882115,1,1,1,0.072303,0.111111,0.023256,1,0.197926,0,1,false
12950@cda6af679d60,0.066202,0.193968,0.281478,0.248899,0.282479,0.071429,0.037037,1,1,0,0.333333,false
12950@bbac3d3dec30,0.149606,0.349234,0.43731,0.422782,0.384791,0.058824,0.025,1,0.262102,0,0.166667,false
12950@c31b1a730e25,0,0,0.082257,0.062225,0.072303,0.083333,0.029412,1,0.719996,0,0.076923,false
12950@713c95e8d8e4,0.066202,0.207555,0.388776,0.362951,0.38215,0.015748,0.020833,1,0.821823,0,0.045455,false
12950@b3dcb286377d,0.113173,0.268167,0.409748,0.357262,0.464637,0.166667,0.021739,1,0.552866,0,1,false
12950@bb276c9cffeb,0.278341,0.469108,0.512186,0.509303,0.312488,0.25,0.04,1,0.719996,0,1,false
12950@7a6fa0f8e860,0.398771,0.478907,0.490306,0.422782,0.575949,0.015748,0.032258,1,0.517364,0,0.037037,false
12950@afa073274618,0.767465,0.844189,0.88698,0.873308,0.898814,0.019802,0.019231,1,0.461183,0,1,false
12950@2cf8af195faf,0,0,0.098624,0.082257,0.072303,0.25,0.166667,1,0.719996,0,0.25,false
12950@61a028247a37,0,0,0.236912,0.180881,0.275283,0.015748,0.027778,1,0.821823,0,0.018519,false
12950@4eb20f0e3a98,0,0,0.036399,0,0.072303,0.25,0.083333,1,0.719996,0,0.066667,false
12950@1ef73d2bef94,0.066202,0,0.317877,0.264327,0.361514,0.015748,0.025641,1,0.821823,0,0.03125,false
12950@a2f859f65852,0.535072,0.649572,0.595127,0.531468,0.693291,0.019048,0.041667,1,0.487233,0,0.5,false
12950@2006fd7dc0fa,0.113173,0.193968,0.283408,0.264327,0.240185,0.015748,0.022727,1,0.821823,0,0.014706,false
12950@66cb4688e5d5,0.149606,0.231068,0.442001,0.405928,0.471672,0.071429,0.25,1,1,0,0.058824,false
12950@b8c63a046f4e,0.204543,0.389518,0.487597,0.470559,0.457093,0.111111,0.028571,1,0.719996,0,1,false
12950@cfe256cbaf70,0.179375,0,0.153038,0.12445,0.144606,0.015748,0.05,1,0.719996,0,0.012658,false
12950@622b14c530f6,0.40572,0.4741,0.590003,0.589437,0.240185,0.015748,0.019608,1,0.517364,0,0.038462,false
12950@c93e4113b2e0,0.113173,0.178778,0.288963,0.279505,0.1869,0.015748,0.022222,1,0.821823,0,0.011905,false
12950@fa691fec980b,0,0.089389,0.248899,0.243106,0.114597,0.25,0.02,1,0.719996,0,0.142857,false
12950@3f40a1f5c949,0,0,0,0,0,0.019802,0.021277,1,0.487233,0,0.5,false
12950@dc3751f2a9bd,0,0,0.160849,0.098624,0.20298,0.015748,0.111111,1,0.821823,0,0.012048,false
132903@f21789bcb7ce,0.066202,0,0.192117,0.174687,0.144606,0.013514,0.2,0.222222,1,0,0.019231,false
132903@d76a348f57ff,0,0.052289,0.226738,0.174687,0.259203,0.016129,0.012048,0.333333,0.821823,0,0.032258,false
132903@870bdb7ff9c8,0.113173,0.24139,0.353841,0.346583,0.229195,0.035211,0.012821,0.666667,0.268957,0,1,false
132903@ea6076fc3572,0.066202,0.052289,0.211086,0.211086,0,0.016129,0.010526,0.333333,0.821823,0,0.2,false
132903@a64d6af939f4,0.493156,0.553303,0.665454,0.624968,0.73992,0.125,0.019231,0.111111,1,0,0.166667,false
132903@ef5e3a014786,0.278341,0.349234,0.3683,0.330027,0.392334,0.125,0.012987,0.111111,1,0,1,false
132903@21e5630a726a,0,0.052289,0.082257,0.036399,0.114597,1,0.035714,1,0.719996,0,1,false
132903@f5c2bf40eed3,0.113173,0.118166,0.352081,0.294194,0.40596,0.125,0.012346,0.111111,1,0,0.125,false
132903@41a1e87a2557,0.113173,0.41511,0.425175,0.386382,0.458389,0.055556,0.125,0.111111,1,0,0.5,false
132903@03cfb29b6375,0,0.141678,0.251662,0.192117,0.295535,0.029703,0.011236,0.333333,0.821823,0,0.5,false
132903@719cc5c7348d,0,0.089389,0.180881,0.12445,0.216909,0.111111,0.111111,0.222222,1,0,0.111111,false
132903@0d16742315f5,0.149606,0.325721,0.421149,0.419487,0.167882,0.022989,0.009901,0.222222,0.821823,0,1,false
132903@bbac3d3dec30,0.149606,0.349234,0.43731,0.422782,0.384791,0.034014,0.011905,0.666667,0.262102,0,0.111111,false
132903@ca389cecc6e1,0.436618,0.592592,0.662732,0.654736,0.585891,1,0.032258,1,0.649353,0,0.5,false
132903@d28fc08e6364,0,0.268167,0.41519,0.339712,0.496747,0.045455,0.009615,0.111111,1,0,0.333333,false
132903@5a3bc32fdfdd,0.179375,0.219846,0.302287,0.243106,0.351246,0.125,0.013158,0.111111,1,0,0.5,false
132903@d5f7f06b6735,0.375952,0.454764,0.438336,0.383297,0.501112,0.037037,0.038462,0.222222,1,0,1,false
132903@b516dee066b2,0,0.052289,0.248899,0.192117,0.289211,0.018182,0.020408,0.333333,0.461183,0,0.076923,false
